,Sentence
233,recently had to replace my power steering gear due to leaking seals that caused failure also power steering pump had to be replaced power steering pump is covered under special gm warranty 14329 loss of power steering assist but not power steering gear in doing research it seems many consumers have experienced a similar issue but gm has not issued a recall for the power steering gear
234,tl the contact owns a 2014 subaru forester while depressing the brake pedal it would not activate and caused the brake lights to fail the contact also stated that the vehicle exhibited issues starting due to the brake switch activation failure the vehicle was taken to the dealer but the failure could not be duplicated the contact stated that the failure recurred and the vehicle was taken back to the dealer where it was diagnosed that the switch that activated the brake lights failed and needed to be replaced the vehicle was repaired the vin was not included in nhtsa campaign number 15v366000 exterior lighting forward collision avoidance the manufacturer was made aware of
235,absolutely abysmal customer service experience with orange buick gmc orlando i had them do two recalls on my 5 saturn the ignition switch which was giving me problems due to the passlock system and the electric steering assist which id had zero problems with prior it was done as a precaution after the steering motor was replaced i started having intermittent power steering codes on startup with no assist turning the car off then on clears it they replaced the motor again problem still occurs now theyre saying the steering column is suspect its not covered under the recall and they wont do anything about it how funny that the column would have been touched by their techs
236,while at milosch palace chrysler jeep dealership in lake orion i noticed the power steering return hose was contacting the front suspension sway bar at stationary curb condition this is a design violation which i told fca about when i worked there in 2014 the issue has existed now from july of 2014 until now the hose can wear a hole in it due to a 2 inch rubbing interference with suspension movement and the vehicle will lose steering assist and power steering fluid can spray in the exhaust system causing a fire
237,tl the contact owns a 2010 ford fusion the contact stated that while driving at approximately 10 mph and making a right turn the steering wheel seized as the advanced trac and the power steering assist fault warning indicators illuminated the contact was nearly involved in a rear end collision due to the failure the contact turned off and restarted the vehicle however the failure persisted the vehicle was towed to the contacts residence the vehicle was driven to the dealer and was diagnosed that the steering gear needed to be replaced the contact was told that the vin was not included in nhtsa campaign number 15v340000 steering the manufacturer was made aware of the failure the approximate failure
238,while using the autopilot on a busy i-80 freeway in san francisco i was driving south and in the middle lane trying to make a lane change into the left lane i hit the speed adjuster knob instead of the turn signal this automatically increases the speed of the car without intending to perform such action this action could prove fatal if a bicyclist or other bikes in the category are in front this is a design flaw the turn signal is too close to the speed adjuster knob and i could foresee a safety incidence occurring due to this lapse thank you tr
239,tl the contact owns a 2015 subaru legacy the contact stated that the vehicle was purchased and unable to be driven for several months due to a failure with the forward collision avoidance feature not functioning properly the contact notified the first dealer and they were not able to replicate and diagnose the failure the contact later tested the vehicle numerous times and noticed that the failure was progressing the vehicle was taken back to the first dealer a second time upon receiving nhtsa campaign number 15v366000 exterior lighting forward collision avoidance and they indicated that the vehicle did not need to be serviced under the recall the vehicle was taken to a second dealer to receive
240,while turning at a light my steering went out and caused me to veer into oncoming traffic in the opposing lane it now takes great effort and muscle to make and turns in the vehicle i have had the vehicle in the shop numerous times due to a faulty transmission now when i turn on the vehicle the instrument panel displays that there is an urgent transmission fault then it will flash that there is an urgent steering assist fault while running a vehicle health report the vehicle states that the transmission is at a reduced power state which causes it to hesitate not change gears and not be able to accelerate properly - all of which ford says are characteristics of this transmission
241,tl the contact owned a 2015 subaru legacy while driving at an unspecified rate of speed an animal went across the drivers path the driver veered to the right and crashed into a tree the vehicle erupted into flames weeks prior to the crash the vehicle was taken to the dealer due to various warning lights randomly flashing on the instrument panel the dealer repaired the vehicle according to a manufacturers recall however the remedy may have been insufficient and caused the failure a police report was filed the driver side air bag deployed with force the driver sustained extensive abrasions to the head a fractured right femur four lateral fractures in the arms fractures to the left elbow with
242,tl the contact owns a 2011 mercedes-benz e550 upon inspecting the vehicle the contact discovered that the failure with the adaptive cruise control may have been associated with the front and rear braking system as the failure progressed the front brakes overheated and warped prematurely due to the front discs and rotors the dealer confirmed that the rotors were warped and replaced the front and rear brake pads and rotors the failure recurred with the brakes having a strong sensation overheating and caused the vehicle to be unstable when the brakes were applied the failure mileage was not available
243,concerned about windshield not being thickstrong enough in 2016 f150s due to camerassensors behind the glass i have a 2016 ford f150 platinum purchased new in december 2015 current mileage is under 4k miles this vehicle has the 701a package which includes lane keeping and 360 degree camera systems within one month of purchase the windshield was chipped due to a small rock hitting it while driving on the highway this chip developed into an 18 crack within 24 hours the windshield was replaced by safelite with an oem replacement - the exact same windshield as was installed by the factory now a month later a small rock hit the windshield
244,tl the contact owns a 2009 chevrolet tahoe hybrid the contact stated that the service engine warning light and various warning indicators randomly flashed at a high rate of speed the instrument cluster randomly shorted out while driving approximately 75 mph also there was a drastic reduction in speed and the vehicle stalled the contact had to apply extreme force to the steering wheel and the power steering assist failed the contact was able to coast the vehicle over to the side of the road the vehicle was towed to the contacts residence due to the sudden failure an independent repair shop inspected the vehicle and was able to review the diagnostic trouble codes but was unable to provide a diagnosis to repair
245,the steering on my hyundai sonata appears to have a mind of its own and has a very weird pull on perfectly flat roads it moves to the right and or left when left alone my hyundai elantra does not have this problem this implies that driving requires constant steering assistance causing a distraction to driving i actually noticed this issue only after moving to another city i used to live on the hills and i assumed this was due to the terrain but now it it definitely an issue on an another note the steering behaves perfectly at lower speeds it is only after you cross 40mph that this issue crops up i have bserved it for over a
246,sudden loss of steering assist messages appeared to service advancetrack and service steering two incidences within 3 days both times the vehicle was in motion once on an exit ramp and once on a state highway near loss of control due to the extremely difficult manual steering mode that resulted very unnerving and dangerous to suddenly lose steering while on the highway fortunately i was strong enough to maintain vehicle control my wife may not have been so fortunate
247,while test driving a model s at a tesla store sales rep told me to remove my hands from the steering wheel while on auto pilot car suddenly swerved to the right at highway speeds causing the car to leave the regular lane i was traveling in the tesla rep instructed me that i did not have to keep my hands on the wheel which left me unprepared for the sudden swerve nameaddress are left this complaint off due to concern about the retaliatory nature of the tesla ceo tesla ceos overly defensivebehavior has a chilling affect on reporting issues
248,tl the contact owns a 2016 hyundai tucson the contact stated that the forward collision avoidance system did not function as designed the contact stated that the vehicle was supposed to chime with a warning indicator stating that the sensor was obstructed after manually blocking the sensor it did not function the vehicle was taken to the dealer three times but the failure could not be diagnosed due to no error codes the manufacturer was notified of the failure the failure mileage was approximately 311300 updated 092316lj cn
249,i own a 2013 ford focus the dealer replaced tcm module and updates as needed due to recall my car has 60k miles and every since dealer completed work my steering wheel will not turn once you first crank the car after it idles for awhile i can drive off as of this morning my steering assist default service required sensor is on and my steering will not turn at all there is also a clicking noise like a blinker that will not stop even if keys are out of ignition
250,abs module failure at 88k miles multiple fault codes presents with constant beeping and an error message reading engine fault workshop in the heads up display epc emergency brake electronic steering assist off traction control off fault codes this is a safety feature failure that can result in loss of power steering antilock braking system functionality and traction control at the same time the failure of this module represents a serious danger to occupants in the vehicle as the safety features are disabled due to the failure of this crucial part this can happen at any speed while drivingturning
251,tl the contact owns a 2015 nissan murano while the cruise control was activated the contact increased the speed using the cruise control speed gauge however due to the vehicles forward collision avoidance system it failed to function once the forward collision avoidance system was disengaged the vehicle experienced unintended acceleration the vehicle was taken to the dealer where it was diagnosed that the vehicle was performing as designed the manufacturer was notified of the failure the vin was unknown the failure mileage was approximately 60
252,when turning steering wheel the epas electronic power steering assist catches and lags for a short time and does not respond this happens intermittently and not all the time it was taken in to corwin ford in nampa idaho for this problem on september 17 2013 while still under warranty at 21310 miles invoice number 10763 they could not duplicate the problem and no fix was done this has been a continuing problem ever since and still happens occasionally yesterday august 31 2016 with 30050 miles on my f150 this happened again this is a safety issue when driving due to the fact that you are not expecting this problem with returning to
253,2000 pontiac grand prix consumer writes in regards to engine fire due to oil leaks recall 15v701 fix was to reroute spark plug wires consumer states engine fires start on exhaust manifolds and not spark plugs wires smd the consumer stated plastic headlight lenses fogged up to the point that made them useless and the power steering assist and failed also the rear valve cover was leaking jb
254,tl the contact owns a 2009 gmc acadia while driving approximately 65 mph there was a sudden loss of engine power and the vehicle was unable to be driven over 40 mph the stability traction control warning indicator illuminated the dealer was unable to replicate and diagnose the failure in addition while driving highway speeds engine hot and ac off appeared on the instrument panel the contact noticed smoke under the hood the vehicle was coasted over to the shoulder of the road and turned off the vehicle was unable to be driven due to the failure and was towed to the dealer the dealer diagnosed that the water pump needed to be replaced the dealer replaced the part the
255,while trying to reverse out of my driveway the power steering assist fault service immediately message came on and it was very hard for me to turn the steering wheel by not being able to drive it completelyi just drove it back in the driveway which was very difficult due to me having to turn the wheel i did take it to the ford dealership and i was told that i need a steering gear assembly i was told that resetting the codes would not work i did inform the worker about that part being recalled for my vehicle but he denied any type of recall for this particular vehicle i have only had this car for two years and this happen out
256,my power steering quit due to a sensor error after i drove to shopping center and parked i got a power steering assist fault error i tried starting it up again i have no power steering i have tried shutting down and starting car back up and still now power steering i have read up on this and seen there are recalls for my year and make and model of car but my vin does not show there is one would like to have this issue resolved as of now i am not driving my car tr
257,have a problem with electrical system 1 the lane assist and reverse feedback comes and goes due to loose wiringi found this is a common issue 2 the new issue is once starting the vehicle and pressing brake pedal interior lights flash happens intermittent for first few minutes from start of vehicle
258,i have had this issue quite a few times and only a few times able to get videos and pictures of what messages come up on the dash board on the street going about 30mph turning right the stirring wheel locked up on me and i was close to colliding with a truck on the opposite lane due to the fact that i basically lost control of my vehicle i just put the truck on parking and the lights on the dashradiova all flickered and suddenly the truck shut off i turned it back on and drove and did not have an issue other then messages on the dash telling me to drive safe steering assist off and service
259,this failure has occurred quite a few times driving home then turning left the steering wheel locked up and shook violently back and forth i almost hit a car in the opposite lane due to the loss of vehicle control when this happened the lights on the dash radio ac fan all flickered and suddenly the truck shut off i turned it back on and drove with similar issues and warning lights on the dash telling me the steering assist is off and service stabilitrak when i pushed the window control up with the window shut the same thing happened again shutting the cruise control off when i used the turn signal im worried about my familys safety the dealership said
260,was driving at low speed on the highway when steering assist failure pull over safely light came on and power steering went out the vehicle only has 57000 miles and we took it to ford for repair and they will have to replace the electric rack assembly due to a short in the gear box tr
261,while driving my 2014 audi s4 on the highway and in turns the steering goes from feeling tight to very light and back to tight again within a matter of split seconds this causes drifting on the highway and when cornering because youre compensating for the lack of feeling for an instant and using more input than you should then the steering gets tight again and your car steers more than it should have note that the car goes straight when hands are not on the wheel this is most prevalent at times when the steering wheel is in the straight position this seems to be due to the movement of the steering wheel that happens under the force
262,nhtsa 08v682000 defect in power steering oil pressure driving pin the nhtsa should reevaluate accepting mercedes benz underestimating of the amount of vehicles that were effected by this recall there are still vehicles that are loosing power steering pressure due to the driving pin that is used to control power steering oil pressure being defective and this is a major safety issue that could result in deaths and accidents the pin breaks during normal vehicle turning so the steering assist will no longer operate effectively it also causes other damage to the vehicle as a result of the hard steering defect as a result of the pin breaking when driving cold the nhtsa 08v682000 defect in power steering oil pressure driving pin the nhtsa should reevaluate accepting mercedes benz underestimating of the amount of vehicles that were effected by this recall there are still vehicles that are loosing power steering pressure due to the driving pin that is used to control power steering oil pressure being defective and this is a major safety issue that could result in deaths and accidents the pin breaks during normal vehicle turning so the steering assist will no longer operate effectively it also causes other damage to the vehicle as a result of the hard steering defect as a result of the pin breaking when driving cold the
263,driving in freezing rain cruise control on front sensor iced up car braked to signal it turned off adaptive cruise control due to front sensor icing up i briefly lost control of car on icy roadway as it lost traction when it braked
264,tl the contact owns a 2015 nissan murano while driving various speeds the forward braking system warning indicator illuminated the vehicle was taken to the dealer for routine maintenance the contact stated to the technician that the forward braking warning indicator illuminated it was diagnosed that the warning indicator was illuminated due to the vehicle being bumped and that the emergency braking system was turned off the issue persisted the vehicle was taken to an independent mechanic where the issue could not be diagnosed the contact mentioned that the vehicle was previously hit a month prior the contact also stated that the front driver and passenger sideview mirrors close vehicle warning signals no longer illuminated when other vehicles were close the manufacturer was
265,my son was driving south on i-15 towards san diego at 65mph in the travel lane 2nd left most lane when his new truck suddenly and without warning completely shut itself off the main screen on the dash prompted to shift into park the truck was traveling at 65 mph at the time to restart the truck he was unable to pull over to the left due to the hov lane being very busy - he traversed three lanes of traffic to the right in a vehicle without power or steering assist and an inoperable electrical system the blinker column switch did not activate the indicator lights he was able to activate the emergency hazard flasher lights
266,sudden loss of power assist while in motion on city street this made changing lanes and turning onto other streets very difficult especially when it first occurred aaa towed the car and did a diagnosis check and said they received 2 codes for steering sensors they said they could not repair my car and i would have to take it to a dealer they did not charge be for the diagnosis but also did not give me the printed report the power assist sis restore when the car was shut-off and restarted how can it be that gm would would sell a vehicle that can suffer a total failure of the steering due to a sensor code without providing a fail safe mode as
267,power steering assist failure drove to work fine 8 hours later came out to go home and the power steering would not work turned off the car and all electronics in hopes it was just a boot error with no success the error was power steering assist failure had to have car towed due to it not being highway safe recalls for power steering on other models after failure
268,i would like to report another example of the tesla autopilot causing a near accident that could easily have claimed many lives here is a new thread on a tesla forum httpsteslamotorsclubcomtmcthreadsscary-experience-with-ap2-0-autosteer-on-the-highway89874 the owner will almost certainly not be reporting this to nhtsa himself because tesla have assured him that all is well other forum posters are telling him that autopilot just needs more time to learn please act now before lives are lost due to this reckless experiment snip hello i
269,tl the contact owns a 2008 ford escape while driving the steering wheel independently turned and the power steering assist stopped operating the contact mentioned that extra steering effort was applied while driving at lower speeds the power steering assist fault error indicator illuminated the vehicle was taken to columbus ricart ford 4255 s hamilton rd 100 groveport oh 43125 614-836-6260 where it was diagnosed that the power steering assist system shut down as a result of the power steering motor sensor fault also the power steering and torque sensor needed to be replaced the vehicle was not repaired the manufacturer stated that due to the previous recall repair they could not repair
270,tl the contact owns a 2012 ford focus within two weeks of purchasing the vehicle it failed to start and the key was not recognized in the ignition also the 6 speed automatic transmission failed to shift appropriately and the contact had to turn the vehicle off and back on due to the failure there was also a sudden loss of eps and the steering assist fault warning indicator flashed the vehicle became difficult to steer intermittently the dealer dave knapp ford lincoln 500 wagner ave greenville oh 45331 -800 717-3673 was unable to diagnose the cause of the failures the vin was included in nhtsa campaign number 16v643000
271,tl the contact owns a 2013 ford escape upon starting the vehicle there was no power steering ability until several minutes later after the vehicle was warmed up the failure occurred during the winter months the contact stated that the failure recurred and the power steering assist warning indicator illuminated the vehicle was taken to paducah ford lincoln but was not diagnosed due to the diagnostic fee the vehicle was not repaired the manufacturer was notified of the failure and referred the contact to nhtsa since there was no recall the failure mileage was unknown
272,pre-collision system not operating using manufacturers parameters there is no warning beeps flashing brake light on the dash and no automatic braking when driving over 10 mph and a crash is about to happen toyota customer service denies there is a problem but cannot prove it works in the here and now due to saftey concerns went to phillips toyota in leesburg florida master technician tested vehicle on highway with me inside and wrote that pcs does not work service mgr called later and said no problem with pcs toyota closed case 1706100949
273,tl the contact owns a 2006 chevrolet malibu while driving various speeds the steering wheel vibrated and the vehicle pulled from left to right the vehicle became difficult to steer and lost power steering ability the vehicle was taken to the dealer harbin chevrolet in scottsboro sc where it was diagnosed that the steering column or the steering assist motor failed and needed to be replaced the vehicle was not repaired due to the diagnostic fees the manufacturer was notified of the failure and informed the contact that the vin was not included in a recall the approximate failure mileage was 11400000
274,2016 ford escape with 5770 miles started car and had steering assist fault no power steering had to be towed to dealer they replaced the steering unit due to a steering control unit failure if it would have happened while driving i probably would have been involved in an accident as it was near impossible to turn the steering wheel repair covered by warranty vehicle was stationary at the time of failure
275,while driving thru a parking lot i received a warning service advantrac then while making a turn into a food drive thru another alarm went off power steering assist fault i lost all power steering and nearly crashed into the drive thru sign this all happened within minutes when the steering goes out there is not advanced indications or warnings until it happens the electric assist motor is just disabled you have no steering at that point it is harder to turn then an older manual steering vehicle the entire rack n pinion steering unit has to be replaced due to under engineering it is one motor but is embedded into the rack the cost alone is 1200 for the rack not including
276,steering column makes a rubbing noise when turning at slow speeds 5 mph sound is less at higher speeds ford dealer says to replace steering unit due to possible power steering assist failure 1600 and a power steering assist fail could result in loss of steering and a crash this sounds like it should fall under the power steering assist recall for the 2011 fusions
277,tl the contact owns a 2013 ford fusion while driving approximately 25 mph the steering wheel seized and the power steering assist fault warning indicator illuminated the contact stated that the steering wheel became difficult to maneuver the contact coasted the vehicle to the side of the road waited a few minutes and was able to resume driving the vehicle was taken to auto zone to see about the recall notification a salesperson stated that there was no power steering ability due to a steering gear motor bolt failure and suggested that the vehicle be taken to a dealer the dealer was not contacted the vin was not included in nhtsa campaign number 15v250000 steering the contact called
278,power steering assist failure - the steering wheel became stiff making the car very difficult to steer this is a known problem across many different ford models and they have recalled certain models due to this issue however they have not issued a recall for 2013 ford focus a quick internet search shows this is a common problem for 2013 ford focus so why no recall
279,tl the contact owns a 2011 ford fusion the contact stated that when the used car lot sold the vehicle they made not mentioned that the vehicle was included in nhtsa campaign numbers 15v340000 steering and 16v384000 air bags the contact noticed that while driving at any rate of speed a warning light flashed for power steering assist fault the dealer summerville ford 9700 dorchester rd summerville sc 29485 -877 477-1434 stated that they were unable to provide the remedy due to the mileage and the contact was uncertain as to why they refused the power steering recall but made no mention of the air
280,tl the contact owns a 2011 ford f-150 while driving approximately 55 mph around a curved road the steering wheel became difficult to maneuver the vehicle started to jerk and the power steering assist and advance traction system warning indicators illuminated the contact coasted the vehicle to the side of the road and was able to drive home despite the difficulty steering the contact called preaus ford motor 206 s main st farmerville la 71241 phone number -318 368-3805 and was informed to bring the vehicle in for a diagnostic test at the contacts expense the vehicle was not taken to the dealer due to the diagnostic and repair fees the vehicle was
281,on 82217 i brought my ridgeline to apple honda in riverhead ny due several warning lights being activated the activated warning lights are as follows collision mitigation road departure mitigation blind spot info system adaptive cruise control lane keeping assist power steering system vehicle stability assist hill start assist trailer stability assist after a query of your database i found that similar problems have been reported and as a result of this the following nhtsa campaign number 16v888000 was generated my concern is apple honda is under reporting and or not report these incident as required in my situation i was told my problem was a direct result of a missing fuse
282,tl the contact owns a 2017 subaru outback the contact stated that the reverse automatic braking system independently applied itself the contact stated that this was due to the asphalt being at an angle where it was close to the sensors of the vehicle autonation subaru scottsdale 15678 n northsight blvd scottsdale az informed the contact that they would need to temporarily disable the feature to prevent future failures when reversing the vehicle the manufacturer was contacted and stated that the braking system was operating as designed the failure mileage was approximately 2000 updated 111617 bf vehicle purchase date should be or before incident date updated 9718jb
283,loss of power steering assist when first starting the vehicle a message is displayed on the info panel in the center of the dash and all steering capability is lost its impossible to turn the steering wheel when this happens both times the vehicle has been stationary and ive been able to correct the problem by disconnecting the battery and then reconnecting it ive reported this issue to the local chevrolet service center and they told me to continue monitoring the problem im obviously concerned that this will happen when im driving since like ive already mentioned you completely lose the ability to turn the steering wheel other messages pop as well traction control system requires servicing trailer brake
284,on several occasions while driving on the highway my eyesight feature suddenly disengages and my cruise control ceases to work and no lane assist or other safety features contained with the eyesight package work for extended periods of time this has occurred when it is raining or snowing
285,i bought 2018 ford escape with 6k miles on it after one week steering assist fault service required message appears and goes on display panel during start and after putting in drive mode the steering get locked vehicle was in motion below description form forscan diagnostic program code c102d - high friction inside power steering status - dtc present at time of request - malfunction indicator lamp is on for this dtc module power steering control module freeze frame nan 32582214 sec - global real time nan 5950 km - total distance nan 1225 volt - module supply voltage
286,while driving my 2015 chevrolet colorado on the 2 fwy in glendale ca when the vehicle experienced a loss of power steering assist while driving it became very difficult to steer a warning appeared on the dash reading power steering service required drive safely also a traction control warning i pulled over and turned off the ignition and the error cleared but came back within 2 minutes i took it to my local chevy dealer autonation chevy in valencia and they read an error code of a poor electrical connection within the torque-sensor harness connector they recommended flashing the computer with latest firmware they did this for a 200 fee and within 1 day it did the same error condition again
287,vehicle was going on the left most lane of the i580 eastbound at adaptive cruise at 65mph both steering and speed was under control by the the adaptiv e cruise feature i was having my hand on the steering and foot on the brake all of sudden car took left turn on its own and crashed into side concrete rail followed by a quick turn and came back to the halt in the middle of the 2nd highway lane things happened so quickly that i could not even realize what happened to the adaptive cruise which lead to this sudden turn i would like you or nhtsa to investigate the matter i am 7 month pregnent and in
288,power steering assist fault parked at my work i started my escape hybrid and i couldnt move the steering wheel the dash showed power steering assist fault somebody told me there was a recall with the torque sensor on the electric power steering on 2008-2012 escape models but not the hybrid models why dont the two vehicles have similar parts beside the electric motor
289,tl the contact owns a 2013 ford explorer when the engine was started the power steering assist indicator illuminated and the steering wheel became difficult to turn the contact was able to drive the vehicle home the vehicle was not taken to the dealer for diagnostic testing the manufacturer was contacted and stated that the vin was not included in nhtsa campaign number 14v286000 steering the vehicle was not repaired the failure mileage was 31328600
290,steering assist faulted while driving nearly causing an accident
291,multiple times while driving warning indicators on the instrument panel begin to flash road departure mitigation system lane keep assist system adaptive cruise control collision mitigation braking system and brake system light when this happens these systems no longer function this has happened at high and low speed with adaptive cruise control on and off on highways and freeways each time i find a place to stop turn the vehicle off and back on again and the systems are fine this has happened 5 times the first being within 2 months of purchasing the vehicle new and the last being yesterday 2 2021-01-02 00:00:00 years after purchasing the vehicle i have taken it to the dealer several times but they
292,when i tried to drive my truck i received the below error messages and lights on my dash board steering assist reduced drive with care service trailer brake service esc brake system failure - 62 mph top speed abs check engine brake traction control i dropped the truck off at the gmc dealer for two days i picked it up and it was fine i was told it was a software update then 7 days later i had the same errors messages and lights on my dash board and this time it was extremely hard to stop the truck i needed to press down all the way to stop the truck
293,adaptive cruise control on two incidents in the past year the cars braking sytem activated as if i were going to hit something i was on the interstate and no cars were within 500 to 1000 feet and no other objects were observed then twice in the past month the flashing brake light appeared on the dash panel indicating i should slow down as i may hit something again this occurred on the nterstate and no cars or objects were anywhere near me this last incident occurred on 1012020
294,i own a 2019 gmc sierra denali 1500 crew cab after starting my vehicle and beginning my journey home sever warning indications of problems came on my dashboard system while driving the brake failure indicator illuminated and the vehicle would not immediately stop when depressing the brake pedal also several warning indicators illuminated including the power steering service esc brake system failure 62 mph top speed steering assist is reduced drive with care service trailer brake system abs and trailer towing warning message indicating that the vehicle would not accelerate above 62 mph in addition the steering wheel became extremely difficult to turn in either direction
295,we were traveling down the freeway at approximately 850 pm pst when the power steering went out and the following error message appeared on the dashboard display power steering assist fault we were able to safely leave the road but steering the vehicle is very difficult
296,2019 nissan rogue sl automatic braking stopped the car for unknown reason no cars or other obstacles in front of car traveling on city street near intersection going under an underpass speed about 35 mpf time was about 430 pm with sun low in sky and shadows in underpass milage on car about 4900 miles
297,experiencing intermittent loss of steering assist at speeds between 40 and 75 mph when issue occurs vehicle can still be steered but with great effort the issue lasts up to several minutes then spontaneously resolves typically happens when driving straight but lasts into turns dealer is closed now but will be scheduling service monday 1620
298,this is a complaint about tesla autopilot that applies to all models of tesla i have used the vin of a junkyard tesla in order to complete this form here is a discussion thread in which an owner complains that following a recent over the air update the car tries to swerve into oncoming cars or off the road even when autopilot is not engaged httpsteslamotorsclubcomtmcthreadswarning-for-tesla-drivers-on-steep-mountain-roads180781 snipin our case this results in the car swerving towards the side of the road or
299,one morning when my wife was getting ready to leave for the gym her car said power steering assist fault now the car has no power steering and if you try to drive it it flashes service advance trac now sadly we dont have the money to fix this so the car is stuck in the drive way
300,tl the contact owns a 2019 kia forte the contact stated that the forward collision avoidance system engaged independently and the camera obstructed warning symbol started to flash also the brakes activated independently and the vehicle stopped abruptly the contact stated that the collision avoidance system warning indicator remained flashing additionally while the collision avoidance system was engaged the vehicle failed to accelerate the vehicle was towed to jts kia of columbia 230 killian commons parkway columbia sc 29203 where it was diagnosed that the transmission needed to be replaced however it was on backorder the vehicle was not repaired the contact stated that the vehicle was still in the dealers custody the manufacturer was notified
301,on 112819 at around 530-600am while driving on the 5 south freeway near the atlantic ave off ramp the car swerved to the right on its own i could not control the carit had a mind of its own the brakes and steering wheel did not respond to me i dont know what happened i dont know if the side camera thought the suv was veering into my lane because the rain distorted its view or what but it was very scary it was as if the car was driving itself even though autopilot was not on i could not right the car after the initial swerve it kept on going heading
302,driving on the 101 freeway in santa barbara road was wet after a light rain at around 630am was in the middle lane very light traffic on a wide curve was not speeding accelerating braking or steering was not using autopilot tires had 11000 miles and tread was still good car all of a sudden spun out of control turning 180 degrees and crashed against a concrete center divider i have a video saved from the cars cameras of the entire accident you can see a car preceding me in the same lane at a similar speed was not affected when driving the tesla on other raining days during the year i had the sensation that the car did not handle
303,tl the contact owns a 2009 pontiac g6 the contact stated that while driving at 70 mph the power steering assist warning light illuminated and the vehicle lost power steering became difficult to operate the contact stated that the vehicle was stranded at the side of the roadway a family member was able after a while to drive the vehicle to residence the vehicle was not included in nhtsa campaign number 14v153000 steering a dealer was not contacted the manufacturer was notified of the failure and the contact was referred to nhtsa for assistance the approximate failure mileage was 20000000
304,emergency braking system triggers itself randomly on several occasions i was driving at night hours with no road hazards or other vehicles on the road with me and suddenly the warning emergency light comes on and my car stops this has happened on 3 separate occasions in the 8 months ive had the car
305,while navigating on autopilot on the freeway the car took the intended exit ramp however never slowed down until i had to intervene reminiscent of the characteristics which led to the recent fatal crash reported over the last week
306,i started my vehicle on january 7th 2020 at about 400pm to return home from work i received multiple warning lights and the check engine light went on the warns read break system failure 62 mph too speed service esc steering assist is reduced drive with care service trailer break system the vehicle would not break properly i would estimate the breaking capacity at 30 from normal i turned off the vehicle and restarted it about 5 minutes later all warnings were gone but the check engine light was still luminated the vehicles performance was reduced and breaking was at about 80 of the normal capacity i have made an appointment with the dealer for imidiate service i slowly and carefully
307,lost of power steeringpower steering steering assistadvance traction warning lights are on and staying on
308,tl the contact owns a 2008 ford escape the contact stated that while driving at 25 mph the power steering assist warning light illuminated and the steering became difficult to maneuver the vehicle was towed to an independent mechanic to be diagnosed the contact was informed that the steering rotation sensor needed to be replaced the vehicle was not repaired sam galloway ford lincoln located at 1800 boy scout dr fort myers fl 33907 -888 699-0916 was contacted and was informed of the failure the contact stated the vehicle was repaired in 2014 under nhtsa campaign number 14v284000 steering however the failure recurred the manufacturer was not contacted or informed
309,brake system failure 62 mph top speed brake warning light check engine light abs light traction control light steering assist is reduced - drive with care service trailer brake system lights on dash as noted above brake pedal makes a clicking power steering non-existent brakes will not stop vehicle without max pressure happened at low speed bumped into cart at store before gaining control after multiple shut downs and restarts all lights normal except check engine light brakes occasionally makes clicking sound without touching them mileage 6056
310,hello my car lost the ability to steer while driving at highway speeds and in a turn it went out like a light bulb would no warning i was luckily as no traffic was coming when this happened and the arch of the curve was favorable for this situation i noticed the warning light came on power steering assist fault god forbid if i would have had my grandchildren with me and there was traffic this has been identified as an issue before with earlier models and a recall was issued but the issue still remains with the newer models as well someone will have a terrible accident soon with the possibility of loss of life please look into this as it is just a matter
311,i was driving on an open interstate using smart cruise control when a message popped up on the dash screen smart cruise control disabled radar blocked weather conditions were dry and my car was clean there had been no snow accumulation in my area nor any in the area in which i was driving there were a few cars around the car that was in front of me made an exit about a minute after the message and indicator lights appeared the message and indicator lights returned to normal after about 5 minutes an hour and a half later the same message and indicator lights appeared the sky was darker with a few flurries in the air but no accumulation i turned off smart cruise
312,sometimes truck stays in gear after shifting into park has rolled forward after i exited the vehicle lane keep assist has misjudged lane turned the wheels sharply causing unwanted lane change pre collision warning often sounds alarms shows visual warnings with no traffic nearby the system has emergency braking im afraid of it applying brakes when im on the interstate crash detected audible visual warnings often appear when there has never been a crash drivers door mirror is not secure vibratesrattles when truck is at highway speeds front rear differentials make grinding noises front end jumps wheels lock up when using 4x4l does not always shift into 4x4h vehicle has overheated
313,monterey window sticker states my vehicle has equipped forward emergency braking this is supported by a 20175 rouge press kit release publication nissan media this important safety function recently failed to apply the brakes and vehicle rear ended another car this feature never worked i feel cheated by nissan vehicle in motion at the time
